,Arms Category,Year,Value
0,Aircraft,1950,5301.0
1,Air defence systems,1950,0.0
2,Armoured vehicles,1950,1024.0
3,Artillery,1950,337.0
4,Engines,1950,481.0
5,Missiles,1950,0.0
6,Naval weapons,1950,1.0
7,Other,1950,0.0
8,Satellites,1950,0.0
9,Sensors,1950,25.0
10,Ships,1950,914.0
11,Total,1950,8083.0
12,Aircraft,1951,6723.0
13,Air defence systems,1951,0.0
14,Armoured vehicles,1951,993.0
15,Artillery,1951,556.0
16,Engines,1951,773.0
17,Missiles,1951,0.0
18,Naval weapons,1951,12.0
19,Other,1951,0.0
20,Satellites,1951,0.0
21,Sensors,1951,4.0
22,Ships,1951,2460.0
23,Total,1951,11520.0
24,Aircraft,1952,11666.0
25,Air defence systems,1952,42.0
26,Armoured vehicles,1952,2419.0
27,Artillery,1952,674.0
28,Engines,1952,818.0
29,Missiles,1952,0.0
30,Naval weapons,1952,0.0
31,Other,1952,0.0
32,Satellites,1952,0.0
33,Sensors,1952,74.0
34,Ships,1952,859.0
35,Total,1952,16552.0
36,Aircraft,1953,15567.0
37,Air defence systems,1953,42.0
38,Armoured vehicles,1953,3980.0
39,Artillery,1953,740.0
40,Engines,1953,1155.0
41,Missiles,1953,0.0
42,Naval weapons,1953,133.0
43,Other,1953,0.0
44,Satellites,1953,0.0
45,Sensors,1953,261.0
46,Ships,1953,1647.0
47,Total,1953,23525.0
48,Aircraft,1954,12853.0
49,Air defence systems,1954,56.0
50,Armoured vehicles,1954,2881.0
51,Artillery,1954,572.0
52,Engines,1954,1024.0
53,Missiles,1954,0.0
54,Naval weapons,1954,40.0
55,Other,1954,0.0
56,Satellites,1954,0.0
57,Sensors,1954,420.0
58,Ships,1954,2197.0
59,Total,1954,20043.0
60,Aircraft,1955,12598.0
61,Air defence systems,1955,197.0
62,Armoured vehicles,1955,2349.0
63,Artillery,1955,810.0
64,Engines,1955,1085.0
65,Missiles,1955,57.0
66,Naval weapons,1955,129.0
67,Other,1955,0.0
68,Satellites,1955,0.0
69,Sensors,1955,439.0
70,Ships,1955,2821.0
71,Total,1955,20485.0
72,Aircraft,1956,14073.0
73,Air defence systems,1956,358.0
74,Armoured vehicles,1956,4053.0
75,Artillery,1956,946.0
76,Engines,1956,1460.0
77,Missiles,1956,55.0
78,Naval weapons,1956,148.0
79,Other,1956,0.0
80,Satellites,1956,0.0
81,Sensors,1956,428.0
82,Ships,1956,3033.0
83,Total,1956,24554.0
84,Aircraft,1957,13705.0
85,Air defence systems,1957,480.0
86,Armoured vehicles,1957,3890.0
87,Artillery,1957,740.0
88,Engines,1957,1337.0
89,Missiles,1957,49.0
90,Naval weapons,1957,181.0
91,Other,1957,0.0
92,Satellites,1957,0.0
93,Sensors,1957,376.0
94,Ships,1957,3325.0
95,Total,1957,24083.0
96,Aircraft,1958,15960.0
97,Air defence systems,1958,605.0
98,Armoured vehicles,1958,3187.0
99,Artillery,1958,700.0
100,Engines,1958,1168.0
101,Missiles,1958,704.0
102,Naval weapons,1958,103.0
103,Other,1958,0.0
104,Satellites,1958,0.0
105,Sensors,1958,372.0
106,Ships,1958,2706.0
107,Total,1958,25505.0
108,Aircraft,1959,10357.0
109,Air defence systems,1959,1300.0
110,Armoured vehicles,1959,3211.0
111,Artillery,1959,659.0
112,Engines,1959,918.0
113,Missiles,1959,1105.0
114,Naval weapons,1959,140.0
115,Other,1959,0.0
116,Satellites,1959,0.0
117,Sensors,1959,267.0
118,Ships,1959,3415.0
119,Total,1959,21373.0
120,Aircraft,1960,7451.0
121,Air defence systems,1960,1523.0
122,Armoured vehicles,1960,3339.0
123,Artillery,1960,577.0
124,Engines,1960,457.0
125,Missiles,1960,768.0
126,Naval weapons,1960,169.0
127,Other,1960,0.0
128,Satellites,1960,0.0
129,Sensors,1960,441.0
130,Ships,1960,3009.0
131,Total,1960,17734.0
132,Aircraft,1961,7487.0
133,Air defence systems,1961,1229.0
134,Armoured vehicles,1961,3027.0
135,Artillery,1961,706.0
136,Engines,1961,303.0
137,Missiles,1961,870.0
138,Naval weapons,1961,114.0
139,Other,1961,0.0
140,Satellites,1961,0.0
141,Sensors,1961,554.0
142,Ships,1961,2044.0
143,Total,1961,16334.0
144,Aircraft,1962,7995.0
145,Air defence systems,1962,1335.0
146,Armoured vehicles,1962,3180.0
147,Artillery,1962,605.0
148,Engines,1962,315.0
149,Missiles,1962,1183.0
150,Naval weapons,1962,74.0
151,Other,1962,1.0
152,Satellites,1962,0.0
153,Sensors,1962,701.0
154,Ships,1962,2148.0
155,Total,1962,17537.0
156,Aircraft,1963,11196.0
157,Air defence systems,1963,1345.0
158,Armoured vehicles,1963,3180.0
159,Artillery,1963,566.0
160,Engines,1963,418.0
161,Missiles,1963,1319.0
162,Naval weapons,1963,108.0
163,Other,1963,1.0
164,Satellites,1963,0.0
165,Sensors,1963,776.0
166,Ships,1963,1383.0
167,Total,1963,20291.0
168,Aircraft,1964,14630.0
169,Air defence systems,1964,2217.0
170,Armoured vehicles,1964,3309.0
171,Artillery,1964,585.0
172,Engines,1964,401.0
173,Missiles,1964,1633.0
174,Naval weapons,1964,302.0
175,Other,1964,1.0
176,Satellites,1964,0.0
177,Sensors,1964,983.0
178,Ships,1964,2422.0
179,Total,1964,26483.0
180,Aircraft,1965,12968.0
181,Air defence systems,1965,2264.0
182,Armoured vehicles,1965,3895.0
183,Artillery,1965,713.0
184,Engines,1965,322.0
185,Missiles,1965,1633.0
186,Naval weapons,1965,157.0
187,Other,1965,1.0
188,Satellites,1965,0.0
189,Sensors,1965,954.0
190,Ships,1965,2166.0
191,Total,1965,25073.0
192,Aircraft,1966,11869.0
193,Air defence systems,1966,1868.0
194,Armoured vehicles,1966,3459.0
195,Artillery,1966,1210.0
196,Engines,1966,466.0
197,Missiles,1966,1575.0
198,Naval weapons,1966,82.0
199,Other,1966,1.0
200,Satellites,1966,0.0
201,Sensors,1966,1072.0
202,Ships,1966,3445.0
203,Total,1966,25047.0
204,Aircraft,1967,12328.0
205,Air defence systems,1967,1383.0
206,Armoured vehicles,1967,3799.0
207,Artillery,1967,993.0
208,Engines,1967,451.0
209,Missiles,1967,1400.0
210,Naval weapons,1967,87.0
211,Other,1967,1.0
212,Satellites,1967,0.0
213,Sensors,1967,1023.0
214,Ships,1967,4051.0
215,Total,1967,25515.0
216,Aircraft,1968,12628.0
217,Air defence systems,1968,1344.0
218,Armoured vehicles,1968,4005.0
219,Artillery,1968,1232.0
220,Engines,1968,486.0
221,Missiles,1968,2066.0
222,Naval weapons,1968,112.0
223,Other,1968,1.0
224,Satellites,1968,0.0
225,Sensors,1968,747.0
226,Ships,1968,3408.0
227,Total,1968,26028.0
228,Aircraft,1969,14243.0
229,Air defence systems,1969,2031.0
230,Armoured vehicles,1969,4751.0
231,Artillery,1969,954.0
232,Engines,1969,443.0
233,Missiles,1969,2051.0
234,Naval weapons,1969,69.0
235,Other,1969,1.0
236,Satellites,1969,0.0
237,Sensors,1969,839.0
238,Ships,1969,3192.0
239,Total,1969,28574.0
240,Aircraft,1970,11891.0
241,Air defence systems,1970,2032.0
242,Armoured vehicles,1970,5255.0
243,Artillery,1970,921.0
244,Engines,1970,508.0
245,Missiles,1970,1357.0
246,Naval weapons,1970,46.0
247,Other,1970,0.0
248,Satellites,1970,0.0
249,Sensors,1970,589.0
250,Ships,1970,2791.0
251,Total,1970,25388.0
252,Aircraft,1971,17043.0
253,Air defence systems,1971,2893.0
254,Armoured vehicles,1971,5597.0
255,Artillery,1971,1007.0
256,Engines,1971,786.0
257,Missiles,1971,1496.0
258,Naval weapons,1971,22.0
259,Other,1971,0.0
260,Satellites,1971,0.0
261,Sensors,1971,521.0
262,Ships,1971,3226.0
263,Total,1971,32591.0
264,Aircraft,1972,17128.0
265,Air defence systems,1972,2915.0
266,Armoured vehicles,1972,5995.0
267,Artillery,1972,912.0
268,Engines,1972,1046.0
269,Missiles,1972,2152.0
270,Naval weapons,1972,132.0
271,Other,1972,20.0
272,Satellites,1972,0.0
273,Sensors,1972,594.0
274,Ships,1972,3379.0
275,Total,1972,34274.0
276,Aircraft,1973,17109.0
277,Air defence systems,1973,3716.0
278,Armoured vehicles,1973,6161.0
279,Artillery,1973,967.0
280,Engines,1973,792.0
281,Missiles,1973,2692.0
282,Naval weapons,1973,86.0
283,Other,1973,6.0
284,Satellites,1973,0.0
285,Sensors,1973,355.0
286,Ships,1973,4117.0
287,Total,1973,35999.0
288,Aircraft,1974,18474.0
289,Air defence systems,1974,3166.0
290,Armoured vehicles,1974,6741.0
291,Artillery,1974,789.0
292,Engines,1974,774.0
293,Missiles,1974,2842.0
294,Naval weapons,1974,96.0
295,Other,1974,6.0
296,Satellites,1974,0.0
297,Sensors,1974,350.0
298,Ships,1974,3575.0
299,Total,1974,36812.0
300,Aircraft,1975,19287.0
301,Air defence systems,1975,3531.0
302,Armoured vehicles,1975,5190.0
303,Artillery,1975,957.0
304,Engines,1975,820.0
305,Missiles,1975,2923.0
306,Naval weapons,1975,132.0
307,Other,1975,6.0
308,Satellites,1975,0.0
309,Sensors,1975,708.0
310,Ships,1975,3769.0
311,Total,1975,37324.0
312,Aircraft,1976,17229.0
313,Air defence systems,1976,4497.0
314,Armoured vehicles,1976,4360.0
315,Artillery,1976,889.0
316,Engines,1976,731.0
317,Missiles,1976,2969.0
318,Naval weapons,1976,114.0
319,Other,1976,0.0
320,Satellites,1976,0.0
321,Sensors,1976,936.0
322,Ships,1976,3746.0
323,Total,1976,35471.0
324,Aircraft,1977,17011.0
325,Air defence systems,1977,6405.0
326,Armoured vehicles,1977,6895.0
327,Artillery,1977,754.0
328,Engines,1977,694.0
329,Missiles,1977,3330.0
330,Naval weapons,1977,130.0
331,Other,1977,0.0
332,Satellites,1977,0.0
333,Sensors,1977,729.0
334,Ships,1977,4003.0
335,Total,1977,39953.0
336,Aircraft,1978,17977.0
337,Air defence systems,1978,6279.0
338,Armoured vehicles,1978,8030.0
339,Artillery,1978,618.0
340,Engines,1978,770.0
341,Missiles,1978,3787.0
342,Naval weapons,1978,189.0
343,Other,1978,24.0
344,Satellites,1978,0.0
345,Sensors,1978,799.0
346,Ships,1978,3999.0
347,Total,1978,42469.0
348,Aircraft,1979,17512.0
349,Air defence systems,1979,4502.0
350,Armoured vehicles,1979,6450.0
351,Artillery,1979,502.0
352,Engines,1979,694.0
353,Missiles,1979,3317.0
354,Naval weapons,1979,148.0
355,Other,1979,109.0
356,Satellites,1979,0.0
357,Sensors,1979,995.0
358,Ships,1979,3804.0
359,Total,1979,38033.0
360,Aircraft,1980,19696.0
361,Air defence systems,1980,4125.0
362,Armoured vehicles,1980,5235.0
363,Artillery,1980,717.0
364,Engines,1980,708.0
365,Missiles,1980,3858.0
366,Naval weapons,1980,202.0
367,Other,1980,89.0
368,Satellites,1980,0.0
369,Sensors,1980,1335.0
370,Ships,1980,5734.0
371,Total,1980,41698.0
372,Aircraft,1981,20982.0
373,Air defence systems,1981,3420.0
374,Armoured vehicles,1981,6582.0
375,Artillery,1981,1065.0
376,Engines,1981,799.0
377,Missiles,1981,4335.0
378,Naval weapons,1981,244.0
379,Other,1981,56.0
380,Satellites,1981,0.0
381,Sensors,1981,1606.0
382,Ships,1981,6311.0
383,Total,1981,45400.0
384,Aircraft,1982,21282.0
385,Air defence systems,1982,3350.0
386,Armoured vehicles,1982,7146.0
387,Artillery,1982,1281.0
388,Engines,1982,811.0
389,Missiles,1982,4572.0
390,Naval weapons,1982,265.0
391,Other,1982,25.0
392,Satellites,1982,0.0
393,Sensors,1982,1528.0
394,Ships,1982,5397.0
395,Total,1982,45656.0
396,Aircraft,1983,20351.0
397,Air defence systems,1983,2834.0
398,Armoured vehicles,1983,7049.0
399,Artillery,1983,1554.0
400,Engines,1983,741.0
401,Missiles,1983,4015.0
402,Naval weapons,1983,354.0
403,Other,1983,69.0
404,Satellites,1983,0.0
405,Sensors,1983,1899.0
406,Ships,1983,5182.0
407,Total,1983,44049.0
408,Aircraft,1984,18316.0
409,Air defence systems,1984,2405.0
410,Armoured vehicles,1984,7266.0
411,Artillery,1984,1468.0
412,Engines,1984,674.0
413,Missiles,1984,3889.0
414,Naval weapons,1984,242.0
415,Other,1984,87.0
416,Satellites,1984,0.0
417,Sensors,1984,1940.0
418,Ships,1984,5429.0
419,Total,1984,41717.0
420,Aircraft,1985,17583.0
421,Air defence systems,1985,3071.0
422,Armoured vehicles,1985,5781.0
423,Artillery,1985,1557.0
424,Engines,1985,620.0
425,Missiles,1985,4371.0
426,Naval weapons,1985,180.0
427,Other,1985,38.0
428,Satellites,1985,0.0
429,Sensors,1985,1589.0
430,Ships,1985,3394.0
