Description,Ticker,Field ID,Field Mnemonic,Data State,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep,23-Oct,23-Nov
All tickers and data are US listed,0,0.0,0.0,Heading,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sector Focus Flows ($ Mln),0,0.0,0.0,Sum,6956.928958,5155.211908,-4289.548643,-1698.242326,-5367.751881,-3002.108335,-260.546345,3038.74287,-7144.903525,8093.002025,-846.931405,-7938.523547,-5886.782483,0.0
    Communications,0,0.0,0.0,Sum,501.66005,-73.034899,-78.026331,114.999956,-26.877201,162.345411,945.694498,696.853327,171.451648,908.744319,381.226156,-1049.349721,89.286933,0.0
        Global X MSCI China Communicat,CHIC US Equity,0.0,0.0,Expression,0.0,0.0,-0.3888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.702,0.0,0.0
        Vanguard Communication Service,VOX US Equity,0.0,0.0,Expression,-26.7565,104.081,-11.844,-12.899349,22.97025,-98.1855,33.85725,-38.92375,8.012,255.75775,93.558,21.3275,-169.95475,0.0
        iShares US Telecommunications,IYZ US Equity,0.0,0.0,Expression,-159.810285,32.2357,91.257865,-128.058725,-25.390135,-2.53545,-11.5543,-1.60091,-5.729345,7.865195,18.995685,-22.828022,-14.59263,0.0
        iShares Global Comm Services E,IXP US Equity,0.0,0.0,Expression,85.675455,-70.856795,2.78103,3.08305,19.075575,-11.90593,12.99072,22.79397,10.158065,-37.69833,17.53746,-17.18435,-13.681226,0.0
        Fidelity MSCI Communication Se,FCOM US Equity,0.0,0.0,Expression,3.31932,-14.435485,-16.84242,-4.26561,18.147515,12.527885,23.814205,77.238155,21.5828,2.04763,-9.691515,18.082345,32.547715,0.0
        SPDR S&P Telecom ETF,XTL US Equity,0.0,0.0,Expression,2.104786,6.377794,2.021661,2.143923,-2.10094,-2.023438,-1.82334,0.0,0.0,-3.830503,3.79576,0.0,-4.950447,0.0
        SPDR S&P International Telecom,IST US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        ProShares Ultra Communication,LTL US Equity,0.0,0.0,Expression,0.0,0.798185,-1.081892,0.0,-0.731876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        iShares Evolved US Media and E,IEME US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Communication Services Select,XLC US Equity,0.0,0.0,Expression,598.564165,-131.631885,-146.430111,254.558508,-62.540001,262.871629,887.814842,634.88718,201.42626,672.586604,259.197383,-1050.400727,263.486467,0.0
        Invesco S&P 500 Equal Weight C,EWCO US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.011267,0.246856,-1.938526,0.266577,0.325848,0.0
        John Hancock Multifactor Media,JHCS US Equity,0.0,0.0,Expression,-0.972019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Direxion Daily Communication S,MUTE US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Proshares Ultrapro Short Commu,SCOM US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Direxion Daily Communication S,TAWK US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Proshares Ultrapro Communicati,UCOM US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Proshares Ultra Communication,XCOM US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Proshares UltraShort Communica,YCOM US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Direxion Daily AAPL Bull 1.5X,AAPU US Equity,0.0,0.0,Expression,-0.464872,0.396587,2.500336,0.438159,3.692411,1.596215,0.595121,2.458682,8.013135,11.769117,-0.419461,2.088956,-4.208999,0.0
