Description,Ticker,Field ID,Field Mnemonic,Data State,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Defense Budgets (in Bn $USD).,0.0,0.0,0.0,Heading,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U.S. Dept of Defense Budget (incl. OCO).,0.0,0.0,0.0,Heading,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Defense Budget Fiscal Year.,0.0,0.0,0.0,Static,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0
Total Budget Authority (Account 051),0.0,0.0,0.0,Static,290.5,309.9,345.6,437.9,471.0,483.9,536.5,603.0,673.5,664.5,695.7,690.8,655.4,585.4,586.9,581.3,592.3,590.578,646.929,695.091,723.224,703.723,715.0,773.0,842.0
    Operation and Maintenance,0.0,0.0,0.0,Static,108.8,115.8,133.9,178.3,189.8,179.2,213.5,240.3,256.2,271.6,293.6,305.2,286.8,258.4,263.2,199.4,250.8,251.84,272.966,284.553,300.401,283.395,290.361,309.343,329.7
    Procurement,0.0,0.0,0.0,Static,55.0,62.6,62.7,78.5,83.1,96.6,105.4,133.8,165.0,135.4,135.8,131.9,118.3,97.8,99.5,90.4,115.0,112.247,125.414,144.545,140.711,141.672,133.64,145.939,170.0
"    Research, Development, Test, and Evaluation",0.0,0.0,0.0,Static,38.7,41.6,48.7,58.1,64.6,68.8,72.9,77.5,79.6,80.0,80.2,76.7,72.0,63.3,62.9,63.5,70.0,72.129,83.658,92.634,104.963,106.447,111.964,130.097,145.0
    Other,0.0,0.0,0.0,Static,78.9,82.3,93.6,115.7,122.2,128.5,138.0,145.7,161.1,176.1,179.7,174.4,169.7,153.3,151.3,140.9,150.2,154.362,164.891,173.359,177.149,172.209,179.034,187.62,197.3
    NOTE: U.S. budgets are placed in column,0.0,0.0,0.0,Heading,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
    corresponding to the year of request; the request,0.0,0.0,0.0,Heading,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
