,Country Name,Country Code,Series Name,Series Code,Year,GDP
0,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,index,0
1,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,index,1
2,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,index,2
3,American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,index,3
4,Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,index,4
5,Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,index,5
6,Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,index,6
7,Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,index,7
8,Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,index,8
9,Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,index,9
10,Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,index,10
11,Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,index,11
12,Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,index,12
13,"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,index,13
14,Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,index,14
15,Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,index,15
16,Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,index,16
17,Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,index,17
18,Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,index,18
19,Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,index,19
20,Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,index,20
21,Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,index,21
22,Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,index,22
23,Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,index,23
24,Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,index,24
25,Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,index,25
26,Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,index,26
27,British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,index,27
28,Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,index,28
29,Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,index,29
30,Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,index,30
31,Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,index,31
32,Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,index,32
33,Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,index,33
34,Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,index,34
35,Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,index,35
36,Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,index,36
37,Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,index,37
38,Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,index,38
39,Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,index,39
40,Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,index,40
41,China,CHN,GDP (current US$),NY.GDP.MKTP.CD,index,41
42,Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,index,42
43,Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,index,43
44,"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,index,44
45,"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,index,45
46,Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,index,46
47,Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,index,47
48,Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,index,48
49,Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,index,49
50,Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,index,50
51,Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,index,51
52,Czechia,CZE,GDP (current US$),NY.GDP.MKTP.CD,index,52
53,Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,index,53
54,Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,index,54
55,Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,index,55
56,Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,index,56
57,Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,index,57
58,"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,index,58
59,El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,index,59
60,Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,index,60
61,Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,index,61
62,Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,index,62
63,Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,index,63
64,Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,index,64
65,Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,index,65
66,Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,index,66
67,Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,index,67
68,France,FRA,GDP (current US$),NY.GDP.MKTP.CD,index,68
69,French Polynesia,PYF,GDP (current US$),NY.GDP.MKTP.CD,index,69
70,Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,index,70
71,"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,index,71
72,Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,index,72
73,Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,index,73
74,Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,index,74
75,Gibraltar,GIB,GDP (current US$),NY.GDP.MKTP.CD,index,75
76,Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,index,76
77,Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,index,77
78,Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,index,78
79,Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,index,79
80,Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,index,80
81,Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,index,81
82,Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,index,82
83,Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,index,83
84,Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,index,84
