,Rank 1950-2022,Supplier,Year,Value
0,1.0,United States,1950,1388.0
1,2.0,Soviet Union,1950,3974.0
2,3.0,Russia,1950,0.0
3,4.0,United Kingdom,1950,2285.0
4,5.0,France,1950,9.0
5,6.0,Germany,1950,0.0
6,7.0,China,1950,0.0
7,8.0,Italy,1950,121.0
8,9.0,Czechoslovakia,1950,17.0
9,10.0,Netherlands,1950,199.0
10,11.0,Israel,1950,0.0
11,12.0,Switzerland,1950,0.0
12,13.0,Spain,1950,0.0
13,14.0,Sweden,1950,27.0
14,15.0,Canada,1950,38.0
15,16.0,Ukraine,1950,0.0
16,17.0,Poland,1950,0.0
17,18.0,South Korea,1950,0.0
18,19.0,Norway,1950,2.0
19,20.0,Brazil,1950,0.0
20,21.0,Australia,1950,0.0
21,22.0,Belarus,1950,0.0
22,23.0,Turkiye,1950,0.0
23,24.0,South Africa,1950,0.0
24,25.0,North Korea,1950,0.0
25,26.0,Belgium,1950,0.0
26,27.0,Czechia,1950,0.0
27,28.0,Finland,1950,0.0
28,29.0,Japan,1950,0.0
29,30.0,Austria,1950,0.0
30,31.0,Denmark,1950,0.0
31,32.0,Yugoslavia,1950,0.0
32,33.0,Libya,1950,0.0
33,34.0,UAE,1950,0.0
34,35.0,Jordan,1950,0.0
35,36.0,Romania,1950,0.0
36,37.0,Uzbekistan,1950,0.0
37,38.0,Singapore,1950,0.0
38,39.0,Egypt,1950,0.0
39,40.0,unknown supplier(s),1950,23.0
40,41.0,Bulgaria,1950,0.0
41,42.0,Iran,1950,0.0
42,43.0,Slovakia,1950,0.0
43,44.0,East Germany (GDR),1950,0.0
44,45.0,India,1950,0.0
45,46.0,Portugal,1950,0.0
46,47.0,Indonesia,1950,0.0
47,48.0,Moldova,1950,0.0
48,49.0,Syria,1950,0.0
49,50.0,Ireland,1950,0.0
50,51.0,Hungary,1950,0.0
51,52.0,Serbia,1950,0.0
52,53.0,Pakistan,1950,0.0
53,54.0,Taiwan,1950,0.0
54,55.0,Kazakhstan,1950,0.0
55,56.0,Iraq,1950,0.0
56,57.0,Greece,1950,0.0
57,58.0,Kyrgyzstan,1950,0.0
58,59.0,Georgia,1950,0.0
59,60.0,Montenegro,1950,0.0
60,61.0,New Zealand,1950,0.0
61,62.0,Chile,1950,0.0
62,63.0,Saudi Arabia,1950,0.0
63,64.0,Kuwait,1950,0.0
64,65.0,Argentina,1950,0.0
65,66.0,Ethiopia,1950,0.0
66,67.0,Thailand,1950,0.0
67,68.0,Nicaragua,1950,0.0
68,69.0,Lithuania,1950,0.0
69,70.0,Venezuela,1950,0.0
70,71.0,Qatar,1950,0.0
71,72.0,Peru,1950,0.0
72,73.0,Malaysia,1950,0.0
73,74.0,South Yemen,1950,0.0
74,75.0,Lebanon,1950,0.0
75,76.0,Slovenia,1950,0.0
76,77.0,Cuba,1950,0.0
77,78.0,Viet Nam,1950,0.0
78,79.0,Brunei,1950,0.0
79,80.0,Morocco,1950,0.0
80,81.0,Cyprus,1950,0.0
81,82.0,North Macedonia,1950,0.0
82,83.0,Colombia,1950,0.0
83,84.0,Bosnia-Herzegovina,1950,0.0
84,85.0,Ghana,1950,0.0
85,86.0,DR Congo,1950,0.0
86,87.0,Chad,1950,0.0
87,88.0,Oman,1950,0.0
88,89.0,Latvia,1950,0.0
89,90.0,Aruba,1950,0.0
90,91.0,Sudan,1950,0.0
91,92.0,Malta,1950,0.0
92,93.0,Estonia,1950,0.0
93,94.0,Algeria,1950,0.0
94,95.0,Kenya,1950,0.0
95,96.0,Nigeria,1950,0.0
96,97.0,Fiji,1950,0.0
97,98.0,Croatia,1950,0.0
98,99.0,Ecuador,1950,0.0
99,100.0,Sri Lanka,1950,0.0
100,101.0,Uruguay,1950,0.0
101,102.0,Iceland,1950,0.0
102,103.0,Zimbabwe,1950,0.0
103,104.0,Mexico,1950,0.0
104,105.0,Philippines,1950,0.0
105,106.0,Angola,1950,0.0
106,107.0,Armenia,1950,0.0
107,108.0,Uganda,1950,0.0
108,109.0,South Vietnam,1950,0.0
109,110.0,Dominican Republic,1950,0.0
110,111.0,North Yemen,1950,0.0
111,112.0,Senegal,1950,0.0
112,113.0,Costa Rica,1950,0.0
113,114.0,Panama,1950,0.0
114,115.0,Cote d'Ivoire,1950,0.0
115,116.0,Eritrea,1950,0.0
